en,tw,cn,type,clues,avoid_clues,note
integrated circuit (IC),積體電路,集成電路,cross_strait,,,tw 約定成俗的翻譯，其他場景的 integrate 不該翻譯為「積體」(@seealso 集成)
cluster,叢集,集羣,cross_strait,,,
cluster,叢集,集群,cross_strait,伺服器；節點；分散；部署；K8s,,
shipping container,貨櫃,集裝箱,cross_strait,,,
bazaar / rural market,菜市場,集貿市場,cross_strait,,,
binary function,二元函式,雙參函數,cross_strait,,,
bijection,對射,雙射,cross_strait,函數；函式；映射；集合；單射；滿射,雙射射出；雙射成型；雙射模具；雙射機,
dual-core,雙核,雙核心,cross_strait,,,"compound:dual-core = 雙核 (@seealso CPU核心, 多核心)"
cloud storage,雲端儲存,雲存儲,cross_strait,,,
cloud service,雲端服務,雲服務,cross_strait,,,
cloud computing,雲端運算,雲計算,cross_strait,,,
start instantly,出其不意；毫無預警；猝不及防,零幀起手,cross_strait,,,
components/parts,零組件,零部件,cross_strait,,,
hair dryer,吹風機,電吹風,cross_strait,,,
email,電子郵件,電子信函,cross_strait,,,
spreadsheet,電子試算表,電子表格,cross_strait,,,
digital burnout,失去興趣；提不起勁；沒有熱情,電子陽痿,cross_strait,,,
power protection / UPS,不斷電系統,電源保護,cross_strait,,,
power adapter,電源供應器,電源適配器,cross_strait,,,
electric blanket,電毯,電熱毯,cross_strait,,,
computer matchmaker,電腦擇友,電腦紅娘,cross_strait,,,
battery cell,電池芯,電芯,cross_strait,,,
television university,空中大學,電視大學,cross_strait,,,
TV series,電視影集,電視系列片,cross_strait,,,
rice cooker,電鍋,電飯煲,cross_strait,,,
flexibility,彈性,靈活性,cross_strait,,,
youth center,青年活動中心,青年宮,cross_strait,,,
static allocation,靜態配置,靜態分配,cross_strait,,,compound:static allocation，常指靜態記憶體配置
static library,靜態函式庫,靜態庫,cross_strait,,,
object-oriented,物件導向,面向對象,cross_strait,,,
object oriented,物件導向的,面向對象的,cross_strait,,,
procedural,程序導向,面向過程,cross_strait,,,
speaker,喇叭；揚聲器；音響,音箱,cross_strait,,,口語/日常 vs 技術文件/規格
audio,音訊,音頻,cross_strait,,,
response,回應,響應,cross_strait,請求；伺服器；HTTP；API；延遲,號召；呼籲；倡議,tw「響應」= answer a call (響應號召)；IT response 改「回應」
header (page),頁首,頁眉,cross_strait,頁碼；排版；印刷；頁尾；版面；Word,,限出版語境
footer (page),頁尾,頁腳,cross_strait,,,
page allocation,頁面配置,頁面分配,cross_strait,,,compound:「頁面」語境自動觸發「分配→配置」(@seealso 記憶體分配)
can't take it,撐不住；受不了,頂不住,cross_strait,,,
project,專案,項目,cross_strait,開發；部署；版本；軟體；軟件；程式碼；代碼；工程；建置；維護,,限軟體開發語境。cn 以「項目」表示 project，tw 用「專案」；「項目」作為 item/品項時為正確 tw 用法
project management,專案管理,項目管理,cross_strait,排程；任務；進度；敏捷,,
sequential container,序列式容器,順序式容器,cross_strait,,,
pre-allocate,預先配置,預分配,cross_strait,記憶體；緩衝區；malloc；配置；容量,,限記憶體/資源配置語境
preprocessor,前置處理器,預處理器,cross_strait,,,
header (programming),標頭,頭,cross_strait,標頭；宣告；定義；編譯；函式；函數；程式碼；代碼；原始碼,,C/C++ header file 語境；「開頭」「剃頭」「橋頭」等日常語境不在此範圍
avatar,大頭貼,頭像,cross_strait,帳號；個人；設定；上傳,,cn「頭像」；tw 用「大頭貼」或「頭像」(avatar/profile picture)
header file,標頭檔,頭文件,cross_strait,,,
brainstorming,腦力激盪,頭腦風暴,cross_strait,,,
frequency-division multiple access (FDMA),分頻多重進接,頻分多址,cross_strait,,,
frequency-division multiplexing (FDM),分頻多工,頻分複用,cross_strait,,,
class,類別,類,cross_strait,class；物件；對象；繼承；多型；介面；OOP；建構；方法；抽象；封裝；實體；子類別；基底；衍生；覆寫；虛擬函式,,依 MoE 辭典，「類」為分類/種類之意。程式設計中 class 應譯「類別」
type,型態；型別,類型,cross_strait,型別；型態；變數；變量；函式；函數；程式碼；代碼；泛型；編譯；宣告,哪些類型；什麼類型；各種類型；某種類型；這類型,「類型」在日常語境表示「種類/範疇」為正確 tw 用法
class definition,類別定義；類別定義式,類定義,cross_strait,,,
class hierarchy,類別繼承體系；類別階層,類層次體系,cross_strait,,,
class library,類別程式庫；類別庫,類庫,cross_strait,,,
class template,類別模板；類別範本,類模板,cross_strait,,,
class template specializations,類別模板特化,類模板特化,cross_strait,,,
class template partial specializations,類別模板偏特化,類模板部分特化,cross_strait,,,
class derivation list,類別衍化列,類繼承列表,cross_strait,,,
class declaration,類別宣告；類別宣告式,類聲明,cross_strait,,,
class head,類別表頭,類頭,cross_strait,,,
class body,類別本體,類體,cross_strait,,,
cathode-ray tube (CRT),映象管,顯像管,cross_strait,,,
graphics card,顯示卡,顯卡,cross_strait,,,
video memory (VRAM),視訊記憶體,顯存,cross_strait,,,
miniature park,小人國,風景微縮區,cross_strait,,,
Fairchild Semiconductor,快捷半導體,飛兆半導體,cross_strait,,,
flight attendant,空服員,飛機乘務員,cross_strait,,,
airplane mode,飛航模式,飛行模式,cross_strait,,,
starvation,飢餓,餓死,confusable,排程；優先；CPU；行程；執行緒；程序；佇列,,starvation 在作業系統排程語境中的標準 tw 譯法為「飢餓」，而非口語化的「餓死」
Chief Information Officer (CIO),資訊長,首席信息官,cross_strait,,,
CEO,執行長,首席執行官,cross_strait,,,「執行長」一詞翻譯不佳，可改寫為 CEO
Chief Technology Officer (CTO),技術長,首席技術官,cross_strait,,,
Chief Operating Officer (COO),營運長,首席運營官,cross_strait,,,
preferences,偏好設定,首選項,cross_strait,,,
Shannon,夏農,香農,cross_strait,資訊；熵；通訊；定理；編碼,,@person science (資訊理論/CS)
Maldives,馬爾地夫,馬爾代夫,cross_strait,,,@geo country (國名)
Mali,馬利共和國,馬裡共和國,cross_strait,,,@geo country (國名)
Republic of Mali,馬利共和國,馬里共和國,cross_strait,,,@geo country (國名)
driver,驅動程式,驅動,confusable,裝置；硬體；device；driver；kernel；核心；載入；安裝；VFS；模組；掛載；註冊；設備,,限 IT 名詞語境。「驅動」作為動詞 (to drive) 為正確用法不替換
drive,磁碟機,驅動器,cross_strait,磁碟；硬碟；檔案；視窗；路徑,,限 IT 語境，針對 DOS/Windows 的檔案系統 (@seealso 資源管理器)
driver,驅動程式,驅動程序,cross_strait,,,"cn「程序」= program, tw「程式」= program; 「驅動程式」= device driver"
skeleton screen,骨架畫面,骨架屏,cross_strait,載入；UI；介面；佔位；載入中,,
architecture,架構；系統架構,體系結構,cross_strait,,,
highlight,醒目標示,高亮,cross_strait,,,
high availability / HA,高可用性,高可用,cross_strait,叢集；容錯；備援；伺服器,,
pressure cooker,壓力鍋,高壓鍋,cross_strait,,,
high-end and classy,高貴；高雅；有氣質,高大上,cross_strait,,,
high-performance computing (HPC),高效能運算,高性能計算,cross_strait,,,
high-standard domestic housing,高級住宅,高標準內銷房,cross_strait,,,
high-grade,高階,高檔,cross_strait,,,
high definition (HD),高畫質,高清,cross_strait,,,
high-end,高階；進階,高端,cross_strait,,,產品定位 vs 技術層級/難度
institutions of higher education,大專院校,高等院校,cross_strait,,,
high-level/advanced,高階；進階,高級,cross_strait,設定；功能；語言；型別；選項,餐廳；飯店；住宅；品牌,tw「高級」= luxury/upscale (高級餐廳)；IT 語境改「高階」或「進階」
cache memory,快取記憶體；快取,高速緩存,cross_strait,,,
occur/happen,發生,髮生,variant,,,OpenCC 轉換時可能誤植「發」為「髮」(hair)
magic number,魔術數字；魔術數值,魔法數,cross_strait,,,
novice lobby / easy match,新手場,魚塘局,cross_strait,,,
catfish (char variant),鯰,鮎,variant,,,MoE 標準字體 (@example 鯰魚)
avocado,酪梨,鱷梨,cross_strait,,,
noodle / flour (char variant),麵,麪,variant,,,MoE 標準字體 (@example 麵條、麵粉)
paste,貼上,黏貼,cross_strait,,,
hacker,駭客,黑客,cross_strait,,,指電腦技術高人一等者，並非蓄意破壞 (cracker)
black hat,黑帽駭客,黑帽,cross_strait,駭客；攻擊；安全；漏洞,,
black-box testing,黑箱測試,黑盒測試,cross_strait,,,
Merkel,梅克爾,默克爾,cross_strait,,,@person politics (政治人物)
default,預設,默認,cross_strait,,,「默認」意指「默許/默示承認」(tacitly approve)，與 default (預設值) 語意不同
default value,預設值,默認值,cross_strait,,,
click,點選；按一下,點擊,cross_strait,,,
like (social media),按讚,點贊,cross_strait,,,
mouse,滑鼠,鼠標,cross_strait,,,
palate / jaw (char variant),顎,齶,variant,,,MoE 標準字體 (@example 上顎、下顎)
overpowered protagonist,開掛仔,龍傲天,cross_strait,,,
